ID,系统/对象,玩家感知,建议音效,触发类型,触发条件,停止条件,推荐防抖/冷却,文件路径,类/方法,行号范围,代码证据,置信度,优先级,备注
"SFX-ENM-0006","Enemy / GhostMechanism2D","接触吸光","接触嘶鸣+循环","Start/Stop Pair","OnTriggerEnter 增加 overlap，StepDrain 扣光","OnTriggerExit overlap=0","无","Assets/Scripts/Features/Mechanisms/Controllers/GhostMechanism2D.cs","StepDrain()/OnTriggerEnter2D()/OnTriggerExit2D()","L199-L214; L391-L409","this.SendCommand(new ConsumeLightCommand(...));","High","P0","建议参数驱动强度"
"SFX-INT-0001","Interactable / BellFlower2D","风铃花激活/熄灭","铃音激活/回落","Start/Stop Pair","SetActive(true/false)","SetActive(false)","0.2s","Assets/Scripts/Features/BellFlower/Controllers/BellFlower2D.cs","BellFlower2D.Update()/SetActive()","L28-L40; L85-L92","this.SendEvent(new FlowerActivatedEvent { ... });","High","P1","可用渐入"
"SFX-INT-0002","Interactable / DoorGate","门开关","机关门开关声","OneShot","DoorStateChangedEvent 发送","不适用","0.2s","Assets/Scripts/Features/DoorGate/Commands/UpdateDoorProgressCommand.cs","UpdateDoorProgressCommand.OnExecute()","L34-L61","this.SendEvent(new DoorStateChangedEvent { ... });","High","P0","与门体运动分层"
"SFX-INT-0003","Interactable / DoorMechanism2D","门体运动","门体移动循环","Start/Stop Pair","UpdateDoorsHeight MoveTowards","到达目标高度","无","Assets/Scripts/Features/Mechanisms/Controllers/DoorMechanism2D.cs","UpdateDoorsHeight()/OnDoorStateChanged()","L65-L92; L120-L129","size.y = Mathf.MoveTowards(...);","Medium","P1","可加开关尾音"
"SFX-INT-0004","Interactable / VineMechanism2D","藤蔓生长/回缩","沙沙生长/回缩","Start/Stop Pair","PlayGrowthAnimation(target)","Tween 完成","0.2s","Assets/Scripts/Features/Mechanisms/Controllers/VineMechanism2D.cs","VineMechanism2D.Update()/PlayGrowthAnimation()","L70-L98; L148-L156","PlayGrowthAnimation(_isActivated ? 1f : 0f);","High","P1","可按方向做声像"
"SFX-INT-0005","Interactable / IceBlock2D","冰块消融","冰裂滴水循环","Loop + Param Driven","HandleMelting() 执行","离开触发器或消融完成","无","Assets/Scripts/Features/IceBlock/Controllers/IceBlock2D.cs","IceBlock2D.Update()/HandleMelting()","L53-L96","HandleMelting();","High","P0","按进度调强度"
"SFX-INT-0006","Interactable / IceBlock2D","完全融化/凝结","崩解+结冰","Start/Stop Pair","CompleteMeltSequence 内禁用/启用碰撞","启用碰撞完成","0.2s","Assets/Scripts/Features/IceBlock/Controllers/IceBlock2D.cs","IceBlock2D.CompleteMeltSequence()","L136-L167","solidCollider.enabled = false; / solidCollider.enabled = true;","High","P1","与视觉渐变同步"
"SFX-INT-0007","Interactable / KeroseneLampManager","灯生成/点亮","点燃提示","OneShot","SpawnLamp 或 SpawnHeldLampIfNeeded 实例化","不适用","0.2s","Assets/Scripts/Features/KeroseneLamp/Controllers/KeroseneLampManager.cs","SpawnLamp()/SpawnHeldLampIfNeeded()","L88-L132; L189-L244","Instantiate(prefab, ...);","High","P1","可叠加火焰起音"
"SFX-INT-0008","Interactable / KeroseneLampManager","灯拾起/放下","拾起/放下声","OneShot","DropHeldLamp/AttachHeldLamp 调用 SetHeld","不适用","0.1s","Assets/Scripts/Features/KeroseneLamp/Controllers/KeroseneLampManager.cs","DropHeldLamp()/AttachHeldLamp()","L247-L285","_heldLampInstance.SetHeld(false); / lampInstance.SetHeld(true);","High","P1","可按高度随机化"
"SFX-INT-0009","Interactable / KeroseneLamp","灯玩法失效","熄灭提示","OneShot","SetLampGameplayEnabled(false) 并播放 gameplayDisabledSfx","不适用","0.2s","Assets/Scripts/Features/KeroseneLamp/Commands/RecordLampSpawnedCommand.cs; Assets/Scripts/Features/KeroseneLamp/Controllers/KeroseneLampInstance.cs","RecordLampSpawnedCommand.OnExecute(); KeroseneLampInstance.SyncGameplayState()","L93-L107; L118-L132","LampGameplayStateChangedEvent / gameplayDisabledSfx.Play();","High","P1","已有 AudioSource 可复用"
"SFX-INT-0010","Interactable / KeroseneLampManager","灯视觉显隐","显隐切换提示","OneShot","SetLampVisualStateCommand 触发","不适用","0.2s","Assets/Scripts/Features/KeroseneLamp/Commands/SetLampVisualStateCommand.cs; Assets/Scripts/Features/KeroseneLamp/Controllers/KeroseneLampManager.cs","SetLampVisualStateCommand.OnExecute(); KeroseneLampManager.OnAreaChanged()","L31-L35; L179-L185","LampVisualStateChangedEvent","Medium","P2","偏环境提示"
"SFX-INT-0011","Interactable / Checkpoint","存档点触发","存档叮","OneShot","SetCurrentCheckpointCommand -> CheckpointChangedEvent","不适用","0.2s","Assets/Scripts/Features/Checkpoint/Controllers/Mailbox2D.cs; Assets/Scripts/Features/Checkpoint/Commands/SetCurrentCheckpointCommand.cs","Mailbox2D.OnTriggerEnter2D(); SetCurrentCheckpointCommand.OnExecute()","L28-L48; L30-L48","this.SendCommand(new SetCurrentCheckpointCommand(...));","High","P1","可与 UI 提示同步"
"SFX-INT-0012","Interactable / StoryTaskTrigger2D","剧情触发门开关","机关门提示","OneShot","SetGateState 调用 SetDoorStateCommand","不适用","0.2s","Assets/Scripts/Features/StoryTasks/Controllers/StoryTaskTrigger2D.cs","StoryTaskTrigger2D.ExecuteAction()","L99-L103","this.SendCommand(new SetDoorStateCommand(...));","High","P1","复用门开关标签"
"SFX-INT-0013","Interactable / StoryTaskTrigger2D","剧情生成灯","点燃提示","OneShot","RequestSpawnLampEvent 发送","不适用","0.2s","Assets/Scripts/Features/StoryTasks/Controllers/StoryTaskTrigger2D.cs","StoryTaskTrigger2D.ExecuteSpawnLamp()","L140-L154","this.SendEvent(new RequestSpawnLampEvent { ... });","High","P2","复用灯生成标签"
"SFX-INT-0014","Interactable / FallingRockFromTrashCanController","落石事件开始/结束","轰隆循环+结束淡出","Start/Stop Pair","StartFallingEvent/EndFallingEvent 发送事件","EndFallingEvent","0.2s","Assets/Scripts/Features/FallingRockFromTrashCan/Controllers/FallingRockFromTrashCanController.cs","StartFallingEvent()/EndFallingEvent()","L85-L123","FallingRockFromTrashCanStartedEvent/EndedEvent","High","P1","控制循环并发"
"SFX-ENV-0001","Environment / Darkness","进入/离开黑暗","氛围压低/解除","Start/Stop Pair","DarknessStateChangedEvent 发送","IsInDarkness=false","0.2s","Assets/Scripts/Features/Darkness/Commands/SetInDarknessCommand.cs","SetInDarknessCommand.OnExecute()","L16-L28","this.SendEvent(new DarknessStateChangedEvent { ... });","High","P1","与环境滤波联动"
"SFX-ENV-0002","Environment / DarknessSystem","黑暗扣光","压迫循环","Loop","IsInDarkness 时 ConsumeLightCommand","退出黑暗/安全区","无","Assets/Scripts/Features/Darkness/Systems/DarknessSystem.cs","DarknessSystem.Tick()","L33-L45","ConsumeLightCommand(amount, ELightConsumeReason.Darkness)","High","P1","可按光量驱动"
"SFX-ENV-0003","Environment / SafeZone","进入/离开安全区","护罩提示","Start/Stop Pair","SafeZoneStateChangedEvent 发送","IsSafe=false","0.2s","Assets/Scripts/Features/SafeZone/Commands/SetSafeZoneCountCommand.cs","SetSafeZoneCountCommand.OnExecute()","L26-L37","this.SendEvent(new SafeZoneStateChangedEvent { ... });","High","P1","与黑暗循环互斥"
"SFX-ENV-0004","Environment / SafeZoneSystem","安全区回光","回充循环","Loop","IsSafe 时 AddLightCommand","IsSafe=false","无","Assets/Scripts/Features/SafeZone/Systems/SafeZoneSystem.cs","SafeZoneSystem.Tick()","L24-L36","this.SendCommand(new AddLightCommand(amount));","High","P1","可用柔和循环"
"SFX-ENV-0005","Environment / AreaSystem","区域切换","环境过门","Start/Stop Pair","AreaChangedEvent 发送","新区域稳定","0.2s","Assets/Scripts/Features/AreaSystem/Commands/SetCurrentAreaCommand.cs","SetCurrentAreaCommand.OnExecute()","L24-L31","this.SendEvent(new AreaChangedEvent { ... });","High","P2","与灯显隐同步"
"SFX-ENV-0006","Environment / HazardVolume2D","危险体积秒杀","强烈打击","OneShot","mode==InstantKill 且触发器进入","不适用","0.2s","Assets/Scripts/Features/Hazard/Controllers/HazardVolume2D.cs","HazardVolume2D.OnTriggerEnter2D()","L34-L44","ApplyInstantKill(deathReason, ...);","High","P0","按 deathReason 变体"
"SFX-ENV-0007","Environment / HazardVolume2D","危险体积持续扣光","灼烧循环","Loop","mode==DrainFast 且触发器停留","离开触发器","无","Assets/Scripts/Features/Hazard/Controllers/HazardVolume2D.cs","HazardVolume2D.OnTriggerStay2D()","L47-L55","ApplyLightDrainRatio(drainRatioPerSecond, Time.deltaTime, drainReason);","High","P1","注意叠加"
"SFX-ENV-0008","Environment / DamageVolume2D","周期受损","规律性提示","Cooldown Gated","冷却到达时 ApplyLightCostRatio","冷却未到或离开","cooldownSeconds","Assets/Scripts/Features/Hazard/Controllers/DamageVolume2D.cs","DamageVolume2D.TryApply()","L39-L52","_nextApplyTime = Time.time + Mathf.Max(0f, cooldownSeconds);","High","P1","可随机化"
"SFX-ENV-0009","Environment / SpikeHazard2D","尖刺击杀","尖锐命中","OneShot","OnTriggerEnter2D -> MarkDead","不适用","0.2s","Assets/Scripts/Features/Mechanisms/Controllers/SpikeHazard2D.cs","SpikeHazard2D.OnTriggerEnter2D()","L23-L31","system.MarkDead(deathReason, other.transform.position);","High","P0","可与死亡音区分"
"SFX-ENV-0010","Environment / FallingRockProjectile","落石命中","重物撞击","OneShot","TryHandleHit -> ProcessHitEffects -> hitSfx.Play","不适用","0.1s","Assets/Scripts/Features/FallingRockFromTrashCan/Controllers/FallingRockProjectile.cs","TryHandleHit()/PlayEffects()","L101-L143; L214-L224","hitSfx.Play();","High","P0","可按质量调节"
"SFX-ENV-0011","Environment / KillVolume2D","掉落死亡","下坠终点","OneShot","KillVolume2D.OnTriggerEnter2D -> KillAt(Fall)","不适用","0.2s","Assets/Scripts/Features/DeathRespawn/Controllers/KillVolume2D.cs","KillVolume2D.OnTriggerEnter2D()","L8-L16","deathController.KillAt(EDeathReason.Fall, ...);","High","P0","与落地死亡区分"
"SFX-UI-0001","UI / SaveButtonsUI","保存按钮点击","点击/保存提示","OneShot","SaveButtonsUI.Save()","不适用","0.05s","Assets/Scripts/SaveSystem/SaveButtonsUI.cs","SaveButtonsUI.Save()","L17-L22","saveManager.Save();","High","P2","可区分成功/失败"
"SFX-UI-0002","UI / SaveButtonsUI","读取按钮点击","点击/读取提示","OneShot","SaveButtonsUI.Load()","不适用","0.05s","Assets/Scripts/SaveSystem/SaveButtonsUI.cs","SaveButtonsUI.Load()","L25-L30","saveManager.Load();","High","P2","无存档可播失败"
"SFX-UI-0003","UI / SaveButtonsUI","删除按钮点击","删除提示","OneShot","SaveButtonsUI.Delete()","不适用","0.05s","Assets/Scripts/SaveSystem/SaveButtonsUI.cs","SaveButtonsUI.Delete()","L33-L37","saveManager.Delete();","High","P2","建议二次确认"
"SFX-META-0001","Narrative / StoryTasks","对话开始","对话提示","OneShot","DialogueRequestedEvent 发送","不适用","0.1s","Assets/Scripts/Features/StoryTasks/Controllers/StoryTaskTrigger2D.cs","StoryTaskTrigger2D.ExecuteDialogue()","L131-L135","this.SendEvent(new DialogueRequestedEvent { ... });","High","P1","若有语音可弱化"
"SFX-META-0002","Meta / LightVitality","光量耗尽","低电量/熄灭","OneShot","LightDepletedEvent 发送","不适用","0.2s","Assets/Scripts/Features/LightVitality/Commands/LightVitalityCommandUtils.cs","LightVitalityCommandUtils.ApplyCurrentLight()","L22-L30","sender.SendEvent(new LightDepletedEvent());","High","P0","与死亡音区分"
